Stickerbush Symphony	b06_spr2_togetogetarumeiro
Battle for Storm Hill	b07_jbt_arashigaokanotatakai
25m Theme	b09_dk_25mbgm
Gear Getaway	b11_rtn_thrillgearflight
Jungle Level Jazz Style (for 3DS / Wii U)	b12_spr_junglelevel
Donkey Kong Country Returns (Vocals)	b13_rtn_donkeykongreturnes_cv
Donkey Kong Country Returns	b14_rtn_donkeykongreturnes
Jungle Hijinxs	b15_rtn_bananajungle
Mole Patrol	b16_rtn_mogryanokoujigenba
Mangrove Cove	b17_tfr_mangroves
Swinger Flinger	b18_tfr_theme03
Jungle Level Tribal Style (for 3DS / Wii U)	b19_spr_junglelevel_ethnic
Donkey Kong / Donkey Kong Jr. Medley	b20_dk_medley
Crocodile Cacophony	b21_spr2_crocodilecacophony
The Map Page / Bonus Level	b22_spr_mappage_bonuslevel
Snakey Chantey	b23_spr_shipdeck2
Gang-Plank Galleon	b24_spr_thepirateship
Funky's Fugue	b25_spr_funkykongpage
Ice Cave Chant	b26_spr_theicecove
Boss 2 - DK: Jungle Climber	b27_jcl_btlcommon
One Of A Kind	by01_by_oneofakind
Riders Of The Light	by02_by_ridersofthelight
Theme Of Bayonetta - Mysterious Destiny (Instrumental)	by03_by_mysteriousdestiny
Let's Hit The Climax!	by04_by_letshittheclimax
Red & Black	by05_by_redandblack
After Burner (∞ Climax Mix)	by06_by_afterburnerclimaxmix
Friendship	by07_by_tomoyo
Let's Dance, Boys!	by08_by_letsdanceboys
The Legend Of Aesir	by09_by2_thelegendofaesir
Tomorrow Is Mine (Bayonetta 2 Theme) (Instrumental)	by10_by2_tomorrowismine
Time For The Climax!	by11_by2_timefortheclimax
Title Theme - The Legend of Zelda	c01_zld_title
Overworld Theme - The Legend of Zelda (Brawl)	c02_zld_maintheme
Great Temple / Temple	c03_lnk_daishinden_shinden
Dark World (Brawl)	c04_tri_yaminosekai
Hidden Mountain & Forest	c05_tri_uranoyamatomori
Tal Tal Heights	c07_yms_tarutarukougen
Hyrule Field Theme	c08_tno_hyrulemaintheme
Ocarina of Time Medley	c09_tno_medley
Song of Storms	c10_tno_arashinouta
Village of the Blue Maiden	c12_4sw_aonomikonomura
Termina Field	c14_mnk_terminaheigen
Dragon Roost Island	c15_kzt_ryuunoshima
Main Theme - The Legend of Zelda: Twilight Princess	c17_tpr_maintheme
The Hidden Village	c18_tpr_wasureraretasato
Overworld & Underworld - The Legend of Zelda (for 3DS / Wii U)	c20_zld_maintheme_chika
Dark World (for 3DS / Wii U)	c21_tri_uranochijyou_uradungeon
Gerudo Valley	c22_tno_gerudonotani
Full Steam Ahead	c23_dnk_trainfield2
Ballad of the Goddess	c24_sws_megaminouta_ghirahim
Saria's Song / Middle Boss Battle	c25_tno_sarianouta
The Great Sea / Menu Select	c26_kzt_oounabara_menuselect
Gerudo Valley	c28_tno_gerudonotani
Ballad of the Goddess	c29_sws_megaminouta
Hyrule Main Theme	c30_tri2_hyrulemaintheme
Lorule Main Theme	c31_tri2_lorulemaintheme
Yuga Battle (Hyrule Castle)	c32_tri2_yuganotheme
Overworld Theme - The Legend of Zelda	c33_zld_chijiyou
Overworld Theme - The Legend of Zelda: A Link to the Past	c34_tri_omotenochijiyou
Hyrule Field Theme	c35_tno_hyrulemaintheme
The Legend of Zelda Medley	c36_zld_medley
Calamity Ganon Battle - Second Form	c37_bow_ganon_latter
Hyrule Castle (Outside)	c38_bow_hyrulejyou_outside
Kass's Theme	c39_bow_kasstheme
Main Theme - The Legend of Zelda: Breath of the Wild	c40_bow_maintheme
Nintendo Switch Presentation 2017 Trailer BGM	c41_zds_3rdtrailertheme
Midna's Lament	c42_tpr_kizudarakenomidna
Main Theme - The Legend of Zelda: Tri Force Heroes	c43_tri3_maintheme
Molgera	c44_kzt_morudogeira
Death Mountain	c45_zld_deathmountain
Termina Field	c46_mnk_terminaheigen
Woodlands - The Legend of Zelda: Tri Force Heroes	c47_tri3_moriarea
Saria's Theme	c48_tno_sarianouta
Menu - Super Smash Bros. for 3DS / Wii U	crs01_menu
Battlefield - Super Smash Bros. for 3DS / Wii U	crs02_senjyou
Final Destination - Super Smash Bros. for 3DS / Wii U	crs03_shuuten
Multi-Man Smash	crs04_kumite
Master Hand - Super Smash Bros. for 3DS / Wii U	crs05_masterhand
Master Core	crs06_mastercore
Online Practice Stage - Super Smash Bros. for 3DS / Wii U	crs07_online
Classic: Results Screen	crs11_simple_result
Classic: Final Results	crs12_simple_result_final
Classic: Fail	crs13_simple_result_failure
All-Star Rest Area - Super Smash Bros. for 3DS / Wii U	crs15_rest
Gallery/Hoard	crs18_figuremeikan
Trophy Shop	crs19_figureshop
Lifelight (JP)	crs2_00a_maintheme_jp
Lifelight	crs2_00b_maintheme_en
Menu	crs2_01_menu
Battlefield	crs2_02_senjyou
Final Destination	crs2_03_shuuten
Mob Smash	crs2_04_kumite
Master Hand	crs2_05_masterhand
Tourney: Battle List	crs2_07_vs_table
Tourney: Winner Announcement	crs2_08_vs_victory
Training	crs2_11_trainingstage
The Light Realm: Prologue	crs2_12_adv_map_light
The Light Realm: Base	crs2_13_adv_map_light_subcommon
The Dark Realm	crs2_14_adv_map_dark
The Final Battle	crs2_15_adv_map_final
Classic Mode: Bonus Stage	crs2_16_bonusstage
Galeem	crs2_17_vs_kiila1
Dharkon	crs2_19_vs_darz1
Galeem/Dharkon	crs2_21_vs_kiila_darz
Free the Spirit!	crs2_22_spiritsboard_roulette
Spirits: Collection	crs2_23_edit_common
Spirits: Inventory/Items	crs2_27_spirits_organize
Classic Mode: Mural	crs2_28_classic_dificulty
Classic Mode: Defeat	crs2_31_classic_result_failure
Classic Mode: Final Results	crs2_33_classic_result_final
Practice Fights	crs2_36_simulationstage
Spectate	crs2_38_online_watching
Vault	crs2_40_collection
Shop	crs2_41_shop
Crazy Hand	crs2_42_crazyhand
Master Hand / Crazy Hand	crs2_43_masterhand_crazyhand
The Dark Realm: The Mysterious Space	crs2_45_adv_map_dark_subcommon
The Final Battle: After the Transformation	crs2_46_adv_map_final_later
Main Theme Piano Solo	crs2_47_maintheme_piano
The Light Realm: March	crs2_48_adv_map_light_later
Trophy Rush	crs20_figurerush
Replay/Album/Records	crs21_album
StreetSmash	crs22_surechigaidairantou
How to Play - Super Smash Bros. Melee	crs23_asobikata
Results Screen - Super Smash Bros. for 3DS / Wii U	crs24_vs_result
Credits - Super Smash Bros. for 3DS / Wii U	crs25_staffroll
Final Destination Ver. 2	crs26_shuuten_ver2
Master Fortress: First Wave	crs27_masterfortress01
Master Fortress: Second Wave	crs28_masterfortress02
Smash Tour: Map	crs31_world_map
Events	crs36_tournament_table
Master Orders: Ticket Selection	crs39_order_masterside
Brinstar (Brawl)	d01_mr_maintheme
Norfair	d02_mr_norfair
Ending - Metroid	d03_mr_ending
Vs. Ridley (Brawl)	d04_smr_vsridley
Theme of Samus Aran, Space Warrior	d05_smr_samusarannotheme
Sector 1	d06_fsn_sector1
Opening/Menu - Metroid Prime	d07_prm_opnening_menu
Vs. Meta Ridley	d09_prm_vsmetaridley
Multiplayer - Metroid Prime 2: Echoes	d10_prm2_multiplay
Title Theme - Metroid	d11_mr_title
Escape	d12_mr_dasshutu
Psycho Bits	d13_pht_psychobits
The Burning Lava Fish	d14_otm_yougangyobattle
Lockdown Battle Theme	d15_otm_hanyoutojikomebattle
Nemesis Ridley	d16_otm_ridleybattle
Vs. Parasite Queen	d17_prm_vsparasitequeen
Vs. Ridley	d18_smr_vsridley
Brinstar Depths	d19_mr_brinstarshinbu
Main Theme - Metroid Prime: Federation Force	d20_pff_splashscreen
End Results - Metroid: Samus Returns	d21_srt_result
Magmoor Caverns - Metroid: Samus Returns	d22_srt_areabgmnettai
Boss Battle 4 - Metroid: Samus Returns	d23_srt_zetametroid
Yoshi's Tale	e01_str_ending
